sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
0trace,,0trace.sh,1,bt4,,
3proxy,,-1,1,bt4,,
5nmp,,mono -v `which 5nmp.exe`?,0,bt4,,
ace,,2,1,bt4,,
addregistrations,,1,1,bt4,,
adm,,-1,1,bt4,ADM DNS Tools,
admsnmp,,ADMsnmp; echo,1,bt4,,
afcat,,2,1,bt4,,
afcompare,,2,1,bt4,,
afconvert,,2,1,bt4,,
affix,,2,1,bt4,,
afinfo,,2,1,bt4,,
afstats,,2,1,bt4,,
afxml,,2,1,bt4,,
aimage,,2,1,bt4,,
air,,1,0,bt4,AIR Imager,
airbase-ng,,1,1,bt4,,
makeivs-ng,,1,1,bt4,,
aircrack-ng,,1,1,bt4,,
airdecap-ng,,1,1,bt4,,
airdecloak-ng,,1,1,bt4,,
airdriver-ng,,1,1,bt4,,
airdrop-ng,,1,1,bt4,,
aireplay-ng,,1,1,bt4,,
airflood,,2,1,bt4,,
dump-join,,1,1,bt4,Airgraph-ng dump join,
airgraph-ng,,1,1,bt4,,
airmon-ng,,1,1,bt4,,
airodump-ng-oui-update,airodump-ng,1,1,bt4,,
airodump-ng,,1,1,bt4,,
airolib-ng,,1,1,bt4,,
airoscript,,1,1,bt4,,
airoupdate,,1,1,bt4,,
airpwn-ng,,1,1,bt4,,
airserv-ng,,1,1,bt4,,
airsnarf,,-1,1,bt4,,
airsnort,,1,1,bt4,,
airtun-ng,,1,1,bt4,,
allin1,,1,0,bt4,,
amap,,1,1,bt4,,
aphopper,,1,1,bt4,,
setup-beef,archtrack-d,1,1,bt4,Set up BeEF,
setup-snort,archtrack-d,1,1,bt4,Set up Snort,
setup-sshd,archtrack-d,1,1,bt4,Set up SSHD,
snort-clean,archtrack-d,mysql -p -e 'drop database if exists snort;'; echo 'Done.'; read,1,bt4,Clean SNORT Database,
snort-start,archtrack-d,/etc/init.d/mysql start && /etc/init.d/snort start && snort-interface.sh && read,1,bt4,Start SNORT,
snort-stop,archtrack-d,snort-interface-stop.sh; /etc/init.d/snort stop,1,bt4,,
start-apache,archtrack-d,1,1,bt4,,
start-gpsd,archtrack-d,,,bt4,,
start-mysql,archtrack-d,,,bt4,,
start-network,archtrack-d,,,bt4,,
start-openvas-administrator,archtrack-d,,,bt4,,
